,tilesNumber,all_returns_density,last_returns_density ,all_returns_spacing,last_returns_spacing
1,1.0,1.41,1.30,0.84,0.88
2,2.0,1.74,1.61,0.76,0.79
3,3.0,2.37,2.10,0.65,0.69
4,4.0,2.30,2.01,0.66,0.71
5,5.0,1.99,1.87,0.71,0.73
6,6.0,2.27,2.11,0.66,0.69
7,7.0,2.29,2.20,0.66,0.67
8,8.0,2.58,2.19,0.62,0.68
9,9.0,3.19,2.73,0.56,0.61
10,10.0,2.81,2.45,0.60,0.64
11,11.0,2.61,2.30,0.62,0.66
12,12.0,2.41,2.19,0.64,0.68
13,13.0,2.29,2.21,0.66,0.67
14,14.0,2.86,2.52,0.59,0.63
15,15.0,2.84,2.64,0.59,0.62
16,16.0,2.76,2.53,0.60,0.63
17,17.0,2.82,2.62,0.60,0.62
18,18.0,3.06,2.74,0.57,0.60
19,19.0,3.78,3.17,0.51,0.56
20,20.0,3.24,2.83,0.56,0.59
21,21.0,2.76,2.66,0.60,0.61
22,22.0,3.11,2.84,0.57,0.59
23,23.0,3.57,3.31,0.53,0.55
24,24.0,3.54,3.18,0.53,0.56
25,25.0,3.84,3.30,0.51,0.55
26,26.0,4.15,3.56,0.49,0.53
27,27.0,4.85,4.16,0.45,0.49
28,28.0,4.00,3.66,0.50,0.52
29,29.0,3.60,3.31,0.53,0.55
30,30.0,4.12,3.81,0.49,0.51
31,31.0,4.93,4.47,0.45,0.47
32,32.0,4.72,4.20,0.46,0.49
33,33.0,4.78,4.13,0.46,0.49
34,34.0,4.79,3.87,0.46,0.51
35,35.0,4.53,3.75,0.47,0.52
36,36.0,3.41,2.96,0.54,0.58
37,37.0,3.72,3.59,0.52,0.53
38,38.0,3.92,3.59,0.51,0.53
39,39.0,4.00,3.56,0.50,0.53
40,40.0,3.49,3.09,0.53,0.57
41,41.0,3.56,3.06,0.53,0.57
42,42.0,3.62,3.00,0.53,0.58
43,43.0,4.25,3.66,0.49,0.52
44,44.0,4.06,3.71,0.50,0.52
45,45.0,2.88,2.72,0.59,0.61
46,46.0,3.80,3.37,0.51,0.54
47,47.0,3.44,3.03,0.54,0.57
48,48.0,3.58,3.16,0.53,0.56
49,49.0,3.61,3.35,0.53,0.55
50,50.0,3.88,3.64,0.51,0.52
51,51.0,2.57,2.39,0.62,0.65
52,52.0,2.47,2.33,0.64,0.66
53,53.0,2.31,2.25,0.66,0.67
54,54.0,2.15,1.99,0.68,0.71
55,55.0,2.48,2.28,0.63,0.66
